S.no,Reviews
2242,"I am very much impressed with BookMyDth Team. I need 8 connections to my office one of my friend suggested me take connections from BookMyDth, so I called to them. I received Tatasky Quotation for 8 connections with suitable packages and best price.I satisfied with the quotation and done payment. Installation done within 2 days with polite manner. Till now there is no problem and further also expecting same from BookMyDth Team. Keep it upFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2243,"I am searching for best dth service provider to my new house and finally got to know about BookMyDth.com website. I entered my name and phone number within 10 mins I received a call from sales department that girl name Ms. Divyanka. She explained me Tatasky packages based on my requirements and committed within 4 hours installation, I make online payment within 3 hours only installation done. I am totally impressed and thank full to BookMyDth Team.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2244,I am user of airtel dth since Nov. 2012. There is no issue with channels or anything. But recently I faced a problem of remote control. My remote control is not working since 26 August 2017. I registered a complaint on 27 August 2017. I am calling daily to customer care since 27 August 2017 and today is 4 September 2017 and I have not got new remote control yet. And it is not like that they are giving it for free. Airtel will charge Rs. 170+ Rs. 50 for handling. Even though they are delaying to deliver remote control. I have to call daily to customer care and executive is telling engineer will visit today again next day I have to call them and again I am getting same answer from them. So if you looking for after sales service then please dont go for Airtel DTH.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2245,"I ordered a Tata Sky From Book My DTH. It is the right place where we can get our desirable choice with the help of their executive. Specially a lot of Thanks to Anjani Kumar who guided me to choose a best plan as per my budget & requirement. The way of his pitching to a customer is totally transparent and simple in a very mannered way. Once again, I must be say THANKS to Book My Dth & Anjani Kumar.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2246,I am from hebbal bangalore. I was looking for a dth connection to my parents who lives in tire 3 city. I was searching for a dth provider across online then found a website called http://www.dthkart.com. I have sent a call back request. 10m later I have received a call from the call center executive Gowthami and she explained me very well. I got good impression on the team. Then I made payment though digital wallet with the order number 120*9 on weekend( Sunday). Even non working day they have made installation in 6 hours and activated same time. Thanks for the dthkart.com team. Keep going!Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2247,"Hi all,We just shifted to a new home and was very confused about what DTH to choose from and sometimes thought to go back to my old cable. I browsed many sites and received many calls from various dth sellers. Out of which one named dthkart.com was very patient and vivid in explaining me the various set top boxes along with the packages that suited to my needs along with economic budget. Finally I ended up in purchasing a Dish TV. He ensured the same day installation and it was really done same day. Now after 2 months I am confident that I made the right decision. Thanks DTHKart.com.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2248,Everyone loves to watch TV.nowadays the cable channel are doing some problems so everyone is buying DTH.if you are buying the new DTH connection then you have to read the following.there are many DTH service providers but you do not have to attract toward them because they are going to fool you if you do not have the knowledge about it.first of all there is only one thing that is the network in your area do not support the network of a specific DTH service provider do not buy this because it is more harmful for yousecondly check the plans compare the plans of different service providers.different companies have different plans and different plans have different prices so you have to check the prices and check the number of channels they are provided in that price. and go for is it cheaper phone because it's your benefitcheck the services provided by the companyNext. Is the set top box result about strong with the three type that is HD quality is normal quality and Ultra HD quality. select your setup box as your need.today the most popular DTH service provider is Tata Sky and Dish TV pick one of them and enjoy watching TV.thankFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2249,"In today's world no one have to watch TV but it is compulsory that you have a TV in your home because TV is very compulsory you can watch news what you are favourite shows and many much things on it.today I want to share my experience or tells you about the DTH service.if you are planning to buy the DTH service for your home then I have something for you that will help you to buy.first of all every DTH company have their own packages and plan. the plans depend upon the cost of the recharge you are doing on your DTH So if you want to buy a new DTH connection then please notice that you have to search the best plans for your DTH at best price.the second thing is network select the DTH who has the better network in your area.with the next thing come into play is the setup box. there are three types of the setup box in every DTH now a days because this is a world of varieties and everyone loves varieties. for for this is SD, HD, Ultra HD setup box. choose your setup box according to you need and according to your budget.select the DTH who has the better service and support. the corrs details needs that a customer care service because there are many problems in DTH so you need a better solution spot.last thing is coming is warranty every DTH services has warranty for example Tata Sky and Dish TV has 1 year warranty new connection if anything happens just shut up box and network related problem they will do it for free and for maintenance purposes what should be extended why you are not interested in.these are some of the correct DNS for you thank youaFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2250,The channels are not working its been months Zee Tv channels like &Tv etc are not comingError 404 remark since 15 days this company is very bad.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2251,"This is very bad service provider.Initially they promised to give 10 HD channels free for 1 year and 360+ channels but once I got connection, No HD channel was there and even only few channels are there.Channels of different languages are free which you are not know.After 6 months they stopped the service and I am still struggling. Their customer care no is not working and not replying over emails.They are fraudFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2252,"My Independent Channel has been closed without any prior intimation since last week, when we called to our distributor he is saying that independent server has been short circuitted and please inform us the further situation about the channel.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2253,"They did not deliver the promise they had made...we have taken the yearly package , but one by one they closed all those mostly viewed chhannels..even details like my name and add were not mine on their database..lastly customer care people they never respond..now all channel are closed since last month..Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2254,"I have installed Independent TV last year in November. Till then not a single day has gone when they have provided uninterrupted service. When IPL was going on they turn off the channel in which IPL was coming. In the world cup, they have turned off all the channels. Sometimes they will cut HD channels without any notice. Then they will cut some other channels.At the top of it, there customer care service is like talking to a stone. They don't have any information, they don't refer to any higher authority who can give any information. The person who installs the dish connection, at the time of installation he was very humble, asked us to call in case any problem occurs, now when we call him he not even talk to you with respect.In short, install independent tv only if you want trouble in your life. It's a big headache. We are now going for tatasky and regret our decision of installing independent tv even after reading all the reviews.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2255,Worst dth ever. Don't buy. Costumer care service is the worst and they always make fool of us. Now they have told us that they will make this signal problem solved after 1 week. Till that time we have to just wait.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2256,"I have a connection of independent TV but very bad service never seen before from local cable operators also gives good service than you people. I really disappointed by choosing independent TV and I have taken one year subscription want to my money back . Your customer service no is not working I have tried 10000 of times but no use. Now lot of channels are not working, no HD channels are working and now from 2 days its showing signal lost where to complaint not a single customer care number is working. I m fed up with you guys and will going to file complaint against you people in consumer court and also in TRAI. And will also help other people avoid independent TV. Its worst ever TV.Thank you very much for fooling me and all the peopleFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2257,Third class service of third class company dont buy itNew way of fraudThey installed independent tv setop box with tata skys 2nd hand antina fraudsFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2258,New style fraud...take money and doesn't listen to customers...toll free number not functioning.... channel are not coming....no one taking accountability niether distributor nor reliance..making fool of us ..never ever buy any reliance service not let others to buy.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2259,"Wholesale cheaters,I didnt think anything can be so worst service ever, though the difference in money is so less, but the quality is utar floop. seriously damm worst quality and worst services. worst services ever. am pitying my decision by selecting thisFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2260,"It is one of the worst dish tv , independent tv is not working from 2 months first they stopped showing star channel for 1 month now all the channels are stopping ever 2 min and again starting???????? I want to file a case on himFooling peopleTheir customer service is unavailable nowWorst service everAnil Ambani chor haiFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2261,"They promised for HD and many sd channels initially while installation and charged for it, then they removed them after a few days, is this a joke.worst service ever, channels are fluctuating lyk hell, and their call center, guyz this is funny, i raised 5 tickets since last 4 months, n they are unable to provide a single service response.Man i m telling u, this has hampered RELIANCE BRAND IMAGE, Neither im gonna buy any stuff from any RELIANCE brand nor gonna recommend any1, n wtf is TRAI doing are they blind or paid for neglecting this... RELIANCE U SUCKS..ANIL AMBANI SURE DESERVES THE SCENARIO HE'S INN..Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2262,"I am surprised that reliance TV has 2 stars. My few friends and I have applied for this and so far the experience is worse. Channels have stopped coming and none of their nos. are working. This is really blot on ""Reliance"" brand and I personally think Anil Ambani should take retirement and stop living on charity of his elder brother. I have paid Rs. 2500 for this and so far none of the English movie channels, few of the news channels are coming but with so much fluctuation that even 1990's era cable TV was better than this. Shame on you reliance TV.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2263,Pls do not buy independent tv. It's channel quality is worst. Very dull picture quality. Cannot identify faces on the channels. Very few channels. I think they only have very very basic channels. I regret buying it. Will never buy once this year gets over as have paid for it. Worst customer service. Most unhappy.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2264,"I have not any class to define this worst compnay(Licchad, bakwas faltu, Bakchod, Non responsive, customer care zonal head never pick you call), Cheats with customer and no any service, I have booked tv in march 2018 and got it on january 2019, they had promissed for hd but you willl never watch that.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2265,They aren't showing any star channel while they have charged for the same. Not able to login and change pack coz of some error. Talked to customer care yesterday. they said both the problems will be resolved in 24 hours. But none of them did. They cannot change the pack at customer care also.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2266,"No service at all which was promised before connection. Channel gets disappeared. Temporary out of service time is minimum 24 to 48 hours. Wastage of money and company is fooling people. No customer support at all, all phone numbers provided are not working. Not a single contact number where we can get connected and tell the query.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2267,I have made several complaints but have not received any response. I have tried escalating the issue to Nodal and Compliance officers but once again No Response. Customer care nos. stopped working and No way to contact anyone. Many channels have stopped and every day the nos. of channels received are reducing without any information or noticeFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2268,"We had complained about poor service broadcast services and some signal issues before 3 weeks , after that took follow up with them on action taken but no action taken and no tachnician came to resolve problems. Whery wieard customer service, will recommend not to buy this productFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2269,"I set a set top box, they fixed the setup box of Independent TV but they put antenna, they put Videocon to the third quality, what would I have to do for them. Tell me why they did not apply antennas to an independent TV dish They found me cheaper And when I gave them 1 year's money in Advance and also removed our HD channels I want my independent TV dish antenna, I have given ₹ 2999 in Advance.Your very veryThank you for waiting for your e-mailFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2270,Online recharge Appadinna Ennanu keppanga. There is no online recharge for this set top box. Hope the company will enable the online recharge facility soon...Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2271,"Dear All,This is a complaint about my connection with ondipudur, COIMBATOE VK OPERATOR.I am fighting with my connection, rarely it connects.I'm paying 290 rupees but still i dont have access to all tamil channels.Fake marketing and horrible operator.If you call them, they will not attend. Even if they attend they will not give proper answer.All time it shows no signal, bad signal and so.I'm trying to meet them in office, but the office is closed all the time.Regretting for taking such a connection.Sent 4 mails to vk digital chennai and called their support people, nodal officers. But no use.Not sure how vk digital chennai is making money with such poor attitude and taking all our hardearned money.Also the review in mouthshut about vk digital is poor.Will switch to someother network sooner.Thanks,AbdulFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2272,"I use this dish from last 8 months. I bought this dish for good package of monthly plan and picture quality.After 4 months I was facing some problems while Watching my Television. There were a continues disturbances occurred in the set top box which they provide and had faced these types of problems for 6-8 days after complaining about it to their support staff. I was unable to sit in front of the TV on consistent premise due to the worst decision that I had made to go for this network. When I reached them and detailed them about their poor administration, The had begun blaming one another for the inconvenience caused. Following a suffering of 7 days. I had decided to change my link connection and switched to another network.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2273,The product is very good. But pls remember that the product will have its value ONLY WHEN AFTER SALE SERVICES ARE GOOD. In this case unfortunately the AFTER SALE SERVICES are very poor. Pls try to improve.This very requiremrnt of 250 characters in our review itself is UNWARRANTED as we could not understand why do you expect a lengthy one. Always the matter should be SHORT And TO THE POINT. We are not school children writing essays on some given topics. Can you give some reason as to why you need minimum 250 characters?Well I hope I have filled up 250 characters. But pls attend to my PROBLEM.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2274,"I'm from Ramapuram, the lady who collect money from shivamurugan communication . she s shouting my mother in front of the house whather to recharge r not . it's our right to recharge r not . who gave her permission to shout .I thought to complain about her roud behaviour about that shivamurugan communication .I called the communication the lady who attend the call her name s Anitha .she s telling that if u want u can complain us anywhere without any proper response. not even listening my complainFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2275,"I bought 2 days before, every channel has struggled to play, I am already informed to cable operators they are not responding to me, it makes irritating while playing I will broke set top box, vk is fking one don’t buy this especially smart set top box very worstFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2276,Worst setup box ever. Don't use it I swear it will be waste.Please please don't buy it. I am having the problem for 1 weak but still I can't able to catch the operator.its boring without tv.so don't buy and waste your money.there is noCustomer service also the phone is ringing but no one pickup the call right nowFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2277,"Very very worst service no response, no customer care executive picking the call.So, KV started there business. It's very horrible and it gets more tensed.So, do you better by giving a good and a quality picture by serving with good customer service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2278,Very very worst.. Always there s a problem.. The program gets struck at all time for the whole day.. Worst ever..normal cable is far better than this.. Waste of money waste of time.. There s no half star option without no other way am giving single startFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2279,"This product is amazing. picture and sound quality is very best. vk digital sound quality is very nice and clearly.vk digital product service is very nice. and best company support. this product value is no max. no mini.I love this product.Both HD & SD channels clarity is better than videocon DTH.I used to convince myself whenever I see my friends TV, that my TV is not capable to produce good quality video's from videocon d2h.Now it's clear evident that the TV is good only the Videocon d2h is not good.I am happy to see the SD channels better than d2h and HD are crystal clear."
2280,BAD Service. My contract no8148871120KarambathurVellore.Pin 632013e_ mail: imtiyazahmedgt@gmail.comBad service by the cable opraterPast 15 days iam getting bad signal no clear picture and sound.After so many time complain no one is attending.Kindly take nessaryRegardsImtiyaz. Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2281,"VK Digital Network is new in the field of DTH Operators. I just wanted to review that that just because I used is very earlier.I would like to start with its major problem which is THE PICTURE QUALITY OF THIS DTH. One could simply say no this sevice provider after using it a while. This DTH is NOT IDEAL FOR HD TVs. Because the picture quality is very poor and if we use them in Above 32'inch Screen, then we would find that picture quality gets worst. They are only ideal for those who are still using CRT TVs but it is never recommended for earlier TVs.Another thing which annoys an user a lot is the SIGNAL ISSUES by which one have to face interruption. This also the main problem of this DTH Operator. Signal strength is very low and I also think that this can also be the major issue behind poor picture quality.Because of these issues, I think that its not a right choice for those who are thinking to buy it. Therefore would never recommend anyone to buy it as it seems very outdated type of dth operators.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2282,Today I am telling you about VK Digital Network I not used personally but I experienced this network in my village so I am giving you my suggestionthe picture and sound quality is the baddest than others and it creates problem many times that's why you need to call customer careThen if you call customer care then the service and support is also very bad of this network they are always busy when I calledthis is value for money because this is the cheapest networkand if you want to buy cheap network then you can buy but later you can see the problems and waste more moneythen I am telling you buy airtel or dishtv to buy for dont waste money laterFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2283,"I was Facing Some Problems while Watching my Television. There were A Continous Disturbances Occurred In the Set Top Box which they Provide And had Faced These Types of Problems For 7-10 Days After Complaining about it To Their Support Staff. I was Unable to sit in front of the Tv On consistent premise due to the Worst Decision that I had Made to go for this Network. When I reached them and detailed them about their poor administrations, the had begun Blaming One Another for the Inconvenience Caused. Following a Suffering of 10 days, I had Decided to Change My link Connection and Switched To Tata Sky. The Services of Tata Sky are Good and Giving Same Channels which VK was Giving At Same Prices. I had Switched Mine And Advice others to not to go for this Connections, generally Switch as quickly as time permits.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2284,Sir how to get a new connection of vk set top box in my area(annanur ch 109)plzz make it arrange sir.i need my mew connection contact 9551529232 hari prasath.k .is the set top box is not aviable in my area? Contact me as soon as possible sir09)plzz make it arrange sir.i need my mew connection contact 95515292 plzzzz help meFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2285,"I was Facing Some Problems while Watching my Television . There was A Continous Dsturbances Occured In the Set Top Box which they Provide, And had Faced These Types of Problems For 7-10 Days After Complainting about it To Their Support Staff . I was Unable to watch Tv On regular basis because of the Worst Decision that I had Made to go for this Network . When I contacted them and reported them about their poor services, the had started Blaming One Another for the Inconvenience Caused . After a Suffering of 10 days, I had Decided to Change My cable Connection and Switched To Tata Sky . The Services of Tata Sky are very Good and Giving Same Channels which VK was Giving At Same Prices . I had Switched Mine And Advice others to not to go for this Connections, otherwise Switch as Soon As Possible .,Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2286,"I used this vk digital network when I was working in puducherry it such a worst provider I fell. first they do not provide full esantial equipment's on purchase and you contact them in order to get it, they just making fool of you they work non professionally. and after all that they charge full annual pack subscription, so worst service I thought and if you have any issue they do not take it professionally and try to ignore the problems. service and support not good it's more than worse. I didn't expect that they are such kind of non professional organization. don't even try to use their service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2287,I had purchased a new LED in my house and for the good quality of pictures and audio quality I have installed VK digital network as my set top box. The picture quality of this network is so good and looks great on led. Along with the picture quality the sound quality is also very good in this network. The service and support of VK Digital network is no doubt beest as they solve every issues and problems. The value of money is there in this set top box as the charges for the subscription of the channels are cheaper as comparison to other digital network like tata sky and others. So overall its a great network which should be installed in your television.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2288,"Last month there is an outage nearly for 7-8 days. While cable operator asked for full month rental without providing service for more than a week. For this issue I have contacted the VK Digital 044 42428282 and explained that there is an outage for week why we pay the full month rental but they asked me to pay the full rental and asked me if you want to complaint then you can complaint to any one. The guy who spoke to me is very rude like kind of Rowdy. This is the level of support we are getting. Guys please not to prefer VK Digital. Forgot to mention that he updated me ""Whether we are providing service or not you have to pay the full month rental"".Now its up to you.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2289,Online recharge Appadinna Ennanu keppanga. There is no online recharge for this set top box. Hope the company will enable the online recharge facility soon...Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2290,"Dear All,This is a complaint about my connection with ondipudur, COIMBATOE VK OPERATOR.I am fighting with my connection, rarely it connects.I'm paying 290 rupees but still i dont have access to all tamil channels.Fake marketing and horrible operator.If you call them, they will not attend. Even if they attend they will not give proper answer.All time it shows no signal, bad signal and so.I'm trying to meet them in office, but the office is closed all the time.Regretting for taking such a connection.Sent 4 mails to vk digital chennai and called their support people, nodal officers. But no use.Not sure how vk digital chennai is making money with such poor attitude and taking all our hardearned money.Also the review in mouthshut about vk digital is poor.Will switch to someother network sooner.Thanks,AbdulFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2291,"I use this dish from last 8 months. I bought this dish for good package of monthly plan and picture quality.After 4 months I was facing some problems while Watching my Television. There were a continues disturbances occurred in the set top box which they provide and had faced these types of problems for 6-8 days after complaining about it to their support staff. I was unable to sit in front of the TV on consistent premise due to the worst decision that I had made to go for this network. When I reached them and detailed them about their poor administration, The had begun blaming one another for the inconvenience caused. Following a suffering of 7 days. I had decided to change my link connection and switched to another network.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2292,The product is very good. But pls remember that the product will have its value ONLY WHEN AFTER SALE SERVICES ARE GOOD. In this case unfortunately the AFTER SALE SERVICES are very poor. Pls try to improve.This very requiremrnt of 250 characters in our review itself is UNWARRANTED as we could not understand why do you expect a lengthy one. Always the matter should be SHORT And TO THE POINT. We are not school children writing essays on some given topics. Can you give some reason as to why you need minimum 250 characters?Well I hope I have filled up 250 characters. But pls attend to my PROBLEM.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2293,"I'm from Ramapuram, the lady who collect money from shivamurugan communication . she s shouting my mother in front of the house whather to recharge r not . it's our right to recharge r not . who gave her permission to shout .I thought to complain about her roud behaviour about that shivamurugan communication .I called the communication the lady who attend the call her name s Anitha .she s telling that if u want u can complain us anywhere without any proper response. not even listening my complainFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2294,"I bought 2 days before, every channel has struggled to play, I am already informed to cable operators they are not responding to me, it makes irritating while playing I will broke set top box, vk is fking one don’t buy this especially smart set top box very worstFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2295,Worst setup box ever. Don't use it I swear it will be waste.Please please don't buy it. I am having the problem for 1 weak but still I can't able to catch the operator.its boring without tv.so don't buy and waste your money.there is noCustomer service also the phone is ringing but no one pickup the call right nowFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2296,"Very very worst service no response, no customer care executive picking the call.So, KV started there business. It's very horrible and it gets more tensed.So, do you better by giving a good and a quality picture by serving with good customer service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2297,Very very worst.. Always there s a problem.. The program gets struck at all time for the whole day.. Worst ever..normal cable is far better than this.. Waste of money waste of time.. There s no half star option without no other way am giving single startFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2298,"This product is amazing. picture and sound quality is very best. vk digital sound quality is very nice and clearly.vk digital product service is very nice. and best company support. this product value is no max. no mini.I love this product.Both HD & SD channels clarity is better than videocon DTH.I used to convince myself whenever I see my friends TV, that my TV is not capable to produce good quality video's from videocon d2h.Now it's clear evident that the TV is good only the Videocon d2h is not good.I am happy to see the SD channels better than d2h and HD are crystal clear."
2299,BAD Service. My contract no8148871120KarambathurVellore.Pin 632013e_ mail: imtiyazahmedgt@gmail.comBad service by the cable opraterPast 15 days iam getting bad signal no clear picture and sound.After so many time complain no one is attending.Kindly take nessaryRegardsImtiyaz. Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2300,"VK Digital Network is new in the field of DTH Operators. I just wanted to review that that just because I used is very earlier.I would like to start with its major problem which is THE PICTURE QUALITY OF THIS DTH. One could simply say no this sevice provider after using it a while. This DTH is NOT IDEAL FOR HD TVs. Because the picture quality is very poor and if we use them in Above 32'inch Screen, then we would find that picture quality gets worst. They are only ideal for those who are still using CRT TVs but it is never recommended for earlier TVs.Another thing which annoys an user a lot is the SIGNAL ISSUES by which one have to face interruption. This also the main problem of this DTH Operator. Signal strength is very low and I also think that this can also be the major issue behind poor picture quality.Because of these issues, I think that its not a right choice for those who are thinking to buy it. Therefore would never recommend anyone to buy it as it seems very outdated type of dth operators.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2301,Today I am telling you about VK Digital Network I not used personally but I experienced this network in my village so I am giving you my suggestionthe picture and sound quality is the baddest than others and it creates problem many times that's why you need to call customer careThen if you call customer care then the service and support is also very bad of this network they are always busy when I calledthis is value for money because this is the cheapest networkand if you want to buy cheap network then you can buy but later you can see the problems and waste more moneythen I am telling you buy airtel or dishtv to buy for dont waste money laterFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2302,"I was Facing Some Problems while Watching my Television. There were A Continous Disturbances Occurred In the Set Top Box which they Provide And had Faced These Types of Problems For 7-10 Days After Complaining about it To Their Support Staff. I was Unable to sit in front of the Tv On consistent premise due to the Worst Decision that I had Made to go for this Network. When I reached them and detailed them about their poor administrations, the had begun Blaming One Another for the Inconvenience Caused. Following a Suffering of 10 days, I had Decided to Change My link Connection and Switched To Tata Sky. The Services of Tata Sky are Good and Giving Same Channels which VK was Giving At Same Prices. I had Switched Mine And Advice others to not to go for this Connections, generally Switch as quickly as time permits.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2303,Sir how to get a new connection of vk set top box in my area(annanur ch 109)plzz make it arrange sir.i need my mew connection contact 9551529232 hari prasath.k .is the set top box is not aviable in my area? Contact me as soon as possible sir09)plzz make it arrange sir.i need my mew connection contact 95515292 plzzzz help meFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2304,"I was Facing Some Problems while Watching my Television . There was A Continous Dsturbances Occured In the Set Top Box which they Provide, And had Faced These Types of Problems For 7-10 Days After Complainting about it To Their Support Staff . I was Unable to watch Tv On regular basis because of the Worst Decision that I had Made to go for this Network . When I contacted them and reported them about their poor services, the had started Blaming One Another for the Inconvenience Caused . After a Suffering of 10 days, I had Decided to Change My cable Connection and Switched To Tata Sky . The Services of Tata Sky are very Good and Giving Same Channels which VK was Giving At Same Prices . I had Switched Mine And Advice others to not to go for this Connections, otherwise Switch as Soon As Possible .,Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2305,"I used this vk digital network when I was working in puducherry it such a worst provider I fell. first they do not provide full esantial equipment's on purchase and you contact them in order to get it, they just making fool of you they work non professionally. and after all that they charge full annual pack subscription, so worst service I thought and if you have any issue they do not take it professionally and try to ignore the problems. service and support not good it's more than worse. I didn't expect that they are such kind of non professional organization. don't even try to use their service.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2306,I had purchased a new LED in my house and for the good quality of pictures and audio quality I have installed VK digital network as my set top box. The picture quality of this network is so good and looks great on led. Along with the picture quality the sound quality is also very good in this network. The service and support of VK Digital network is no doubt beest as they solve every issues and problems. The value of money is there in this set top box as the charges for the subscription of the channels are cheaper as comparison to other digital network like tata sky and others. So overall its a great network which should be installed in your television.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2307,"Last month there is an outage nearly for 7-8 days. While cable operator asked for full month rental without providing service for more than a week. For this issue I have contacted the VK Digital 044 42428282 and explained that there is an outage for week why we pay the full month rental but they asked me to pay the full rental and asked me if you want to complaint then you can complaint to any one. The guy who spoke to me is very rude like kind of Rowdy. This is the level of support we are getting. Guys please not to prefer VK Digital. Forgot to mention that he updated me ""Whether we are providing service or not you have to pay the full month rental"".Now its up to you.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2308,Online recharge Appadinna Ennanu keppanga. There is no online recharge for this set top box. Hope the company will enable the online recharge facility soon...Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
2309,"Dear All,This is a complaint about my connection with ondipudur, COIMBATOE VK OPERATOR.I am fighting with my connection, rarely it connects.I'm paying 290 rupees but still i dont have access to all tamil channels.Fake marketing and horrible operator.If you call them, they will not attend. Even if they attend they will not give proper answer.All time it shows no signal, bad signal and so.I'm trying to meet them in office, but the office is closed all the time.Regretting for taking such a connection.Sent 4 mails to vk digital chennai and called their support people, nodal officers. But no use.Not sure how vk digital chennai is making money with such poor attitude and taking all our hardearned money.Also the review in mouthshut about vk digital is poor.Will switch to someother network sooner.Thanks,AbdulFlag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2310,"I use this dish from last 8 months. I bought this dish for good package of monthly plan and picture quality.After 4 months I was facing some problems while Watching my Television. There were a continues disturbances occurred in the set top box which they provide and had faced these types of problems for 6-8 days after complaining about it to their support staff. I was unable to sit in front of the TV on consistent premise due to the worst decision that I had made to go for this network. When I reached them and detailed them about their poor administration, The had begun blaming one another for the inconvenience caused. Following a suffering of 7 days. I had decided to change my link connection and switched to another network.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort."
2311,The product is very good. But pls remember that the product will have its value ONLY WHEN AFTER SALE SERVICES ARE GOOD. In this case unfortunately the AFTER SALE SERVICES are very poor. Pls try to improve.This very requiremrnt of 250 characters in our review itself is UNWARRANTED as we could not understand why do you expect a lengthy one. Always the matter should be SHORT And TO THE POINT. We are not school children writing essays on some given topics. Can you give some reason as to why you need minimum 250 characters?Well I hope I have filled up 250 characters. But pls attend to my PROBLEM.Flag This ReviewIrrelevantFakeJunk Thank You! We appreciate your effort.
